,Sentences,Labels
2590,tak for alt  hvad jeg og min familie har modtaget af varme og hengivenhed igennem mange  mange år,0
977,disse jubilæer skal være os til stolthed og inspiration  vi kunne noget engang  vi danskere vi kan noget endnu,0
6416,hele verden er afhængig af fred i mellemøsten,1
1620,at man fra alle sider i hele landet i den grad lever med i min og min families ve og vel og tager del i både vore private og officielle gøremål  giver os så meget at takke for og leve op til,0
1559,mine tanker går til dem og til deres familier på denne aften  og jeg ønsker dem alle et godt nytår,0
3724,formyndighederne havde simpelthen opgivet at hindre beboerne i hytterne i at tappe strøm fra den offentlige gadebelysning nede i dalen,1
3843,mangfoldighed betyder ikke  at vi skal glemme  hvem vi er,1
4787,hvordan skal en rengøringsassistent  som  ifølge arbejdsmiljøinstituttet  dagligt skal rengøre et areal  der svarer til 28 danske parcelhuse  kunne bevare sin arbejdsglæde og sit overskud til ungerne derhjemme,1
930,mange af de flygtende er kvinder og børn,0
3857,men den vareproducerende del af erhvervslivet vil hverken på kort eller på lang sigt kunne afskaffe arbejdsløsheden,1
2630,målt med den målestok er danmark så afgjort blandt verdens mest privilegerede nationer,0
3453,og dermed også støtte de millioner af mennesker over hele verden  der ønsker de samme frihedsrettigheder,1
5113,vi udvider værnepligten,1
466,det er mit håb  at den gode udvikling for grønland fortsætter  og at det vidtstrakte land må bindes bedre sammen og knyttes tættere til danmark og verden,0
2815,det er der udvikling i   nok til et helt liv,0
4920,hverdensproblemerne i øvrigt er fyldt med modsætninger,1
4891,vores velstand kommer fra handel med andre lande,1
2088,efter kun et halvt års medlemskab overtog danmark formandsposten  og det nyligt afholdte regeringschefmøde i københavn bragte os fællesskabet på nærmeste hold og understregede dets betydning,0
4386,må jeg give mig selv lov til i aften at vende mig direkte til de mennesker  der har det direkte ansvar for ledelsen af vores virksomheder og sige til dem,1
5961,det har historien lært os,1
1410,det er oplevelser  som aldrig er blevet glemt og som gør et stærkt indtryk  også på alle os  der kun har fået dem fortalt,0
3259,selv på den mørkeste vinterdag kan glæden pludselig trænge sig på ligesom et solstrejf  lirke ved den knude  der synes uløselig  og dæmpe den sorg  der synes ubærlig,0
42,her er frit valg,0
1797,det er nemt nok  mener nogle  når man sidder på  den grønne gren  med  villa  vovse og så videre,0
1984,nu vil vi se frem til den kommende sommer med håbet om  at vi i stedet kan mødes til den tid,0
3955,kalundborg,1
1396,det forgangne år har ikke været noget dårligt år for færøerne,0
1091,når vi ønsker godt nytår er det gammel skik også at sige tak for det gamle år  og vi i min familie har meget at sige tak for,0
2956,dem må vi bære med os videre i livet,0
1835,en begivenhed  der kom til at præge alle  der oplevede det  og som har sat sig dybe spor i danmarks bevidsthed,0
1234,om lidt lukker vi bogen i og stiller det gamle  kendte bind op på hylden i reolen,0
4545,husk at elske  mens du tør det,1
1197,lad os tage fat på det år med godt mod og bruge dets dage vel,0
2245,under fjerne himmelstrøg bidrager vore danske udsendte soldater til frihed og stabilitet,0
2337,det land og det folk står mig og min families hjerte meget nær,0
5749,i året  der gik  tog vanvidskørsel livet fra en ung betjent,1
3052,men det største ansvar er medansvaret   det ansvar vi hver især har for hinandens frihed,0
5587,det blev et årti med mange lyspunkter,1
4879,vi kan godt   hvis vi vil,1
5521,det har byttet tallene om,1
392,dele af mønstret kommer til os udefra  det er fælles for os alle,0
136,efter berlinmurens fald syntes fremtiden endnu lysere  men krigene på balkan i 1990 erne kastede på ny skygger over vore optimistiske forventninger,0
5766,det er også i vor egen interesse,1
4684,og der er nogen  der mener  at dette er udtryk for en vis opløsning af vores demokrati,1
3979,en ny generation bliver født og vokser op,1
1378,forskellen på unge og ældre behøver ikke at være en generationskløft,0
3255,det er nok de unge  der går forrest,0
5971,vi har en bedre balance på vores samhandel med udlandet end nogensinde tidligere,1
3618,selvfølgelig kan vi komme ud af krisen,1
336,det er tankevækkende  at fn s menneskerettighedserklæring blev vedtaget for 50 år siden  netop 100 år efter  at vor grundlovs fædre sad og baksede med at give danmark sin frie forfatning,0
5923,i sidste ende risikerer vi at miste den brede folkelige opbakning til  at danmark skal være et åbent land for dem  der kan og vil  dygtig udenlandsk arbejdskraft,1
1596,nu er der kun tilbage at sige tak for i år,0
228,det er det  der har bragt os vidt,0
1469,som altid omkring nytår går mine tanker også mod nord til færøerne og grønland  og ganske særlig når vi som i år har været på besøg,0
2517,vi skal stadig stå på vagt for de værdier  vi kæmpede for  og som vort samfund stadig bygger på,0
3081,vi synes  at vi efterhånden er blevet dygtige til at indrette vort samfund sådan  at alle skal kunne få det mest nødvendige  i hvert fald når det gælder materielle goder,0
2444,erfaring er en værdifuld bagage  som også de unge skal kunne glæde sig over og glæde sig til,0
288,jeg er min mand dybt taknemmelig for al den støtte  hjælp og inspiration  han har givet mig igennem alle årene,0
2662,året 1943 husker vi for redningen af de danske jøder,0
3137,de lærere er der altid brug for  og sådanne lærere er der fortsat rigtig mange af,0
6142,rhodesia vil  som de sorte ønsker det  snart komme til at hedde zimbabwe,1
218,jeg ønsker et godt nytår for dem alle,0
5279,har altså trods alt bestået sin prøve,1
724,vi har igennem mere end et halvt århundrede engageret os i mangfoldige internationale sammenhænge  og danmark har ydet betydelig bistand til udviklingsarbejde mange steder i verden,0
5887,arbejdsløsheden i danmark er trods alt lavere end i de fleste andre europæiske lande,1
4625,den udvikling  vi har haft i det danske samfund gennem 6 år  er ikke kommet af sig selv,1
1478,nogle mennesker med handicap bliver ligefrem diskrimineret  måske også mødt med hån og drilleri,0
1986,det er samtidig 300 året for hans egedes ankomst  et skelsættende år for både grønland og danmark,0
6304,vi er nødt til at stå sammen med andre frie og demokratiske samfund i forsvaret for frihed og menneskerettigheder,1
4161,er der tryg omsorg  når vi bliver gamle,1
5346,når danskere klarer sig godt i internationale konkurrencer,1
6528,har jeg stadig et arbejde,1
2911,det er en stor opgave  men også et vanskeligt dilemma  for hvor mange kan vi hjælpe og hvordan hjælper vi bedst,0
3644,jeg vil også takke de mange danskere  som udfører et fredsbevarende arbejde i afghanistan  kosovo og andre af verdens brændpunkter,1
4426,ikke meget  men dog en fremgang,1
69,de gamle med deri lange erfaring sidder med så tomme hænder  når der ikke længere er nogen at dele den med  skønt der nok bliver sørget for dem på mange måder,0
1434,det overrasker os måske lidt  for her til lands har vi nok tradition for at sige vores mening  men helst sådan  at vi også kan blive enige,0
4088,det er deres arv  vi forvalter,1
2455,vi skal heller ikke glemme de mange familier her i landet  som har deres oprindelse netop i nogle af de hårdest ramte områder  også de lever i disse dage med en stor uvished om  hvordan det er gået for deres slægtninge og deres oprindelige hjemegn,0
870,de viser alle et livsmod og en utrolig vilje til at overvinde deres handicap  som gjorde et stort indtryk på mig  og som kun kan vække beundring,0
1127,så alt for hurtigt  synes vi  måske især når vi bliver ældre,0
3111,vi glemte  at det drejer sig om mennesker  ikke vulkaner eller flodbølger,0
4892,det er begyndt at gå fremad igen,1
3372,i kosovo,1
71,blev det ikke den tilværelse  de havde forestillet sig  så blev det dog et liv  et liv  der var værd at leve,0
2235,til dem og til alle fjern som nær  danske af sind og af rod  sender prinsen og jeg vore gode nytårsønsker,0
509,dog ved vi jo  at tilværelsen kan forme sig meget forskelligt  og at vilkårene kan byde på knaster og forhindringer  som nok kan tage modet fra én,0
2573,alligevel kommer mange af os nok til at mindes 1986 som året  der for alvor viste os  hvor voldsomt  ja katastrofalt mennesket kan gribe ind i naturen,0
5133,de erfaringer  vi har gjort os   de drømme  vi har haft   var mere ens end ellers på tværs af landegrænser og kontinenter,1
2298,og hvad enten vore rødder fortaber sig i fjerne tider  eller vi først for nylig har slået os ned her  kan vi godt samles om vor fortid,0
4844,personsager  der fyldte meget,1
1253,men de gamle  de kendte skam ingen af ordene  de brugte nok  men de brugte helt op   jo  selv  genbrug  er et barn af overflodssamfundet,0
4729,derfor fortsætter vi som pålideligt  som solidarisk medlem af nato  der har været så værdifuld som garanten for vores egen fred og som boldværket  der muliggjorde den folkelige opstand i østlandene,1
3065,ved nytårstid går mine tanker som altid til de danske syd for grænsen,0
1954,i årets løb er der dog sket ting  som vi håber vil være indledningen til en positiv udvikling i det internationale samfund,0
454,jo  i danmark  i den vestlige verden,0
6022,også frihed til at sige noget vås,1
4768,i gjorde folketingsvalget sidste år til et klimavalg,1
1332,i aften må jeg fejre nytår uden min mand og min yngste søn,0
3827,de skal hjælpes i gang  der hvor de bor og hører hjemme,1
5416,færre børn dør som små,1
1937,jeg vil gerne rette en tak til alle  der har engageret sig i hjælpearbejdet,0
4952,med overenskomsterne klogt på plads skal vi i gang med at udnytte opsvinget til at skabe fornyelse og modernisering overalt i det danske samfund,1
4699,de unge,1
3117,danmark er ikke et stort land  men det rummeligt  og det er fredeligt  det har vi altid ment  og når man i udlandet endog roser os for det  er det kun rimeligt  at vi også bliver stolte,0
1798,vi skal indstille os på vore vilkår  som de er  vi må vise agtpågivenhed,0
5959,og bekymringerne står i kø,1
5258,og for lidt på  hvordan vi vil få det i årene  som ligger foran os,1
3250,selv rejsemål fjernt fra vor verdensdel er nu blevet opnåelige  ikke kun for de få og eventyrlystne,0
919,vi trænger stadig længere ud i det uendelige rum  vi udforsker galakser så fjerne  at det svimler for os,0
5454,og engagerer os i de vidt forgrenede danske kulturtilbud og mange folkeligvis,1
3962,et mere retfærdigt samfund starter med børnene,1
3663,den har stort set været uændret siden 1970  men mange ting har ændret sig i de forløbne godt 30 år,1
1161,men vore lande står sammen om at hjælpe ukrainerne i deres frihedskamp,0
5148,mennesket har aldrig fået noget forærende,1
4054,flere kommer i skole,1
6316,den foregående,1
6259,kære dronning margrethe,1
5048,der er skabt mange nye arbejdspladser,1
6005,jeg vil gerne sige en varm tak til hver og én af jer,1
6352,men vi skal gøre det klogt,1
3144,jeg vil gerne takke for indsatsen  den har ikke været uden omkostninger for såvel den enkelte som for hele styrken,0
6247,jeg kunne godt ønske  at det personlige ansvar kom til at spille en større rolle i hverdagen,1
2942,måske skulle man flytte til en anden by eller en anden landsdel  hvis mulighederne for arbejde eller uddannelse er bedre der,0
4457,med en digters ord vil jeg sige  fri os for dem  der tror for meget  men også for dem  der tror for lidt,1
3170,det har støttet og glædet os midt i sorgen  det vil vi aldrig glemme,0
2713,men de ord var udtryk for en dyb tillid  trods livets usikre vilkår,0
180,nu er det gamle år næsten forbi  et nyt står for døren,0
5195,de danske eksperter  der træner kurdiske og irakiske styrker,1
1948,der er sket meget for danmark i løbet af den sidste generation,0
4723,derfor er det urimeligt  når vi samtidig skal høre på de evige angreb på velfærdssamfundet og de stadige krav om voldsomme nedskæringer,1
316,denne sommer besøgte kronprinsparret sammen med deres fire børn færøerne,0
6498,alt dette giver økonomisk tryghed,1
3228,sjældent har dette været sandere end under vor rejse til amerika  som både blev et møde med det store udland og et møde med de mange mennesker  der har deres rod i danmark,0
2803,dog  året der er gået  kan også have budt på tunge stunder   ikke alt er glæde for os alle,0
2739,vi i danmark er stolte af vort land og af  hvad danskere i nutid og fortid har bedrevet  selvom vi gerne forsøger at lægge lidt ironisk afstand til vores selvbegejstring,0
2361,for dem og deres pårørende ønsker jeg et godt nytår,0
997,skal man blive skolelærer,0
2829,mange har åbnet deres hjem  arbejdsplads  fodboldklub   og deres hjerter,0
3260,det bringer os videre  både vort samfund og os selv  hver enkelt af os,0
1265,vi kan som danske godt være stolte af  at vi bliver bedt om at hjælpe til rundt omkring i verden  hvor det brænder på,0
3894,også flygtninge har bidraget til udviklingen af det danmark  vi kender i dag,1
40,den skal have den onde lykke,0
3832,for resten af jer vil vi ændre efterlønnen  så ændringerne er størst for de yngste af jer og mindst for de ældste,1
829,jeg omfatter hele min familie med stor kærlighed til alle tider,0
3211,jeg vil ønske  at det nye år må blive et godt år for alle  der nu skal finde sig til rette i danmark,0
6077,30 ernes hverdag  ja det var jo den internationale krise med en masse arbejdsløshed og en landbrugskrise af helt andre dimensioner  end vi kender det i dag,1
3815,men danmark gør mere end det,1
778,mine tanker og ønsker går til alle danske  som må fejre nytår langt fra hjemmet  og til alle dem  som må savne et familiemedlem på netop denne aften,0
6286,ved at få de nye demokratier med i eu skaber vi et helt og udelt europa,1
417,det præg bærer ethvert menneske med sig  hvad enten han eller hun forbliver hjemme eller rejser ud i verden  måske for at slå sig ned et helt nyt sted,0
871,så vil vi alle ønske hinanden et godt nytår og med fortrøstning se det nye år i møde og hilse år 2008 velkommen her,0
695,vel havde ungdomsoprøret politisk sigte og talte økonomi som alle andre i sin tid,0
4431,men jeg ønsker alle et godt nytår,1
4036,1  januar 1990  den første dag i det sidste årtig inden årtusindskiftet,1
628,i de gode år åbnede vi vore døre for mange mennesker fra andre egne af verden,0
1750,genforeningsdagen blev en mærkedag  ikke blot for sønderjyderne  men en dag  som inddrog hele danmarks befolkning,0
6256,danske forskere er på nogle områder blandt de førende i verden,1
4743,vi har et ansvar for  at vi bevidst giver de nye livsformer et indhold  så vi selv og vore børn kan genfinde varmen og trygheden i den daglige tilværelse,1
2147,de fremskridt  som videnskab og teknologi allerede havde gjort  varslede om bedre og bedre tider,0
4529,og det er bydende nødvendigt,1
2129,i aften vover jeg det alligevel  gud i vold   godt nytår,0
3148,hvad hjertet er fuldt af må komme allerførst  og jeg kan ikke begynde denne aften uden at bringe en tak for det gamle år,0
5170,vi bruger humor,1
6263,men for de fleste samfundsgrupper gik nu året 1979 temmelig godt,1
5335,når vi bliver utålmodige   og det bliver vi   så håber jeg  vi husker  at mørket er tættest  lige før solen bryder frem,1
5064,de er for langsomme  men der er stadig håb,1
2257,grønlandsrejsen i sommer blev for min mand og jeg og for vore to drenge den helt enestående oplevelse,0
5741,selvfølgelig,1
4165,men lidt mindre kunne jo også gøre det,1
6343,det kræver kløgt,1
4861,drengen syntes  at det var  tror jeg nok  en meget god forklaring,1
2070,den tirsdag eftermiddag i september  mens vi chokerede fulgte begivenhederne i new york og washington  blev der lukket op for frygten  hvad ville blive det næste,0
662,det nemmeste er at tænke  heldigvis var det ikke en af vore  ikke på vor egn  ikke i vores gade    men det var jo netop i danmark  det er vores egn  vores gade  det er en af os,0
5210,og at det vil resultere i en omfattende aftale om fred i hele tiden,1
5229,men når en 12 årig bliver fjernet fra hjemmet  så ligger der ofte 11 dårlige år bag,1
104,vi har mærket  hvor meget kontakten til andre mennesker betyder  hvor vigtige de nære bånd er for os alle  og hvor væsentlig tilliden er   til hinanden   og til det samfund  vi alle er en del af,0
6216,men ordentlig politisk ledelse er at gøre det nødvendige   også når det nødvendige betyder  at nogle må afgive noget for at andre   de svageste   kan få et bedre liv,1
2469,hvordan skal vi bære os ad,0
5924,vi må ikke affinde os med svigt i forhold til dem  der er svagest og mest udsat,1
2645,ligeså meget som vi glæder os over broen  som føjer sig ind i landskabet eller den vellykkede omformning af et gammelt torv i byen  ligeså meget ærgrer det os  når en nybygning pludseligt stjæler vores udsigt  eller når en husrække skæmmes af en ufølsom facadefornyelse,0
3324,vi bør i fællesskab give børnene et  læseløfte,1
5443,det er det stadigvæk,1
1116,det glæder mig altid at se  at så mange foreninger  institutioner og private hjem værner om dansk kultur  tradition og historie på årets sidste aften vil jeg gerne sende min hilsen og tak til de mange  både professionelle og frivillige  som hen over jul og nytår bidrager til at gøre højtiden festlig  også for dem  der ofte må sidde alene  mens andre fester min tak og nytårshilsen går også til alle de  der sørger for  at vi kan leve trygt i hverdagen såvel som på en festaften som denne,0
2329,i efteråret havde jeg lejlighed til at møde nogle af vore sårede soldater under deres genoptræning på rigshospitalet,0
4758,så er mønstret stadig for stærkt,1
5618,på menneskeværd,1
2702,ikke bare på facebook  men rigtigt  ansigt til ansigt under fire øjne med en jævnaldrende eller med en  der er ældre  og som man kan betro sig til,0
5439,vi har øget vores fritid,1
2842,den 18  april i år mindedes hele landet stormen på dybbøl i 1864 og det nederlag  som kom til at præge danmark i stort som i småt,0
5495,jeg tror  vi alle er stærkt optaget af at komme bedre igennem med disse hjemlige menneskelige problemer  end vi hidtil har i øvrigt,1
2237,de er en del af vort danske fællesskab,0
1619,i disse år er der fremgang i danmark,0
450,ansvar har vi for hinanden  men så sandelig også for os selv,0
1780,jeg sender også mine gode nytårshilsener til alle dem  der er udsendt af forsvaret  og som gør tjeneste under fn  osce og ved nato styrkerne i bosnien  med deres besindighed og gode humør repræsenterer de noget  som vi gerne vil se som typisk dansk,0
852,her er den danske ånd stadig i live,0
1409,1988 er 400 året for christian 4  s tronbestigelse og 200 året for stavnsbåndets ophævelse  og begge begivenheder vil vi mindes og fejre rundt omkring i landet,0
1536,vi kan komme til at gøre vort demokrati fortræd ved at overreagere  men vi styrker ikke demokratiet ved at dukke os eller lade stå til,0
5140,fra regeringens side gør vi alt for at skaffe oplysning om de savnede og for at få hentet alle danskere hurtigt hjem,1
660,kunstig intelligens efterlader os med et helt grundlæggende spørgsmål   hvad er det  der gør os mennesker til noget ganske særligt   vi mennesker har håb og nysgerrighed,0
3282,vi forfærdes  når vi hører om mishandling og anden grusomhed ude i verden,0
4136,danmark skal være et land  hvor der er plads til at blive gammel på mange måder,1
2353,en tak for den modtagelse  vi møder overalt i landet både ved særlige lejligheder og i det hele dagligdags,0
3387,vi skulle skamme os  hvis ikke vi forvaltede den rige danske arbejdsmarked,1
4460,men lad mig gøre en ting helt klart,1
2006,vi tager os ikke tid til at forstå hinanden og vi glemmer at respektere hinanden og passe på hinanden,0
88,når man har mistet eller måttet undvære  lærer man at sætte pris på det  man har,0
1754,nu er det gamle år næsten forbi,0
4115,vi deler den smerte og det tab  som i har gennemlevet,1
4078,æret være deres minde,1
763,når det drejer sig om en rejse  er der et valg  man kan også blive hjemme,0
6564,og dermed for  at der kommer gang i forbruget og økonomien igen,1
4423,en af sangene fra filmen er blevet sunget flittigt til mange konfirmationer gennem årene,1
780,under meget vanskelige forhold har de gang på gang stillet op for at bidrage med  hvad de hver især formår,0
4414,en politik  som det vil være nødvendigt at fastholde,1
3611,skatterne i danmark er for høje  og der skal skabes forudsætninger for en lempelse,1
1833,en familie er ikke nødvendigvis det samme i dag som for en generation siden,0
1050,starten bliver i københavn  og turen vil gå fra roskilde over storebæltsbroen og slutte i sønderborg,0
2301,nytårsaften er den aften  hvor vi ser tilbage på året der gik og ser frem til det nye år  med hvad det mon vil bringe,0
2360,men egentlig tror jeg kun  det var overfladen  der tog sig ud som et samfundspolitisk spørgsmål,0
5717,som ikke mindst mexicos præsident,1
4622,ikke kun blank og glat,1
6306,og at palæstinenserne har den samme ret,1
2332,i aften skal der også gå en varm hilsen til alle danske  der er bosat uden for landets grænser  og til de mange  som har bevaret båndene til deres danske hjemstavn   sommetider igennem generationer,0
1202,vi ved  at den økonomiske krise  som hærger verden  sulten  fattigdommen  ufreden og truslerne mod vort miljø stiller os over for voksende udfordringer,0
827,hvad har de at bygge på eller at give videre,0
4369,den trang kan og skal man ikke kvæle nogetsteds,1
5342,desværre betyder ændringerne i de kommende år ikke  at vores indsats i afghanistan bliver mindre risikabel,1
27,det år  der er gået  har budt på mange oplevelser for min familie og mig,0
6109,ikke bare blandt arbejdsmarkedsorganisationer  men også ude på det,1
632,efter ferien tager i fat igen  så gælder det om at vise  hvor dygtige i kan blive,0
5039,mange danskere har betalt med deres liv,1
305,det skal vi hjælpe dem til  ikke ved at rydde hver en sten på deres vej  men ved at indgyde dem tro på sig selv  sådan at de kan klare sig i livet,0
5050,gæster fra andre lande kan synes  at det er en mærkelig   men måske også fascinerende   måde at indrette sig på,1
5185,men frem for alt  så ser vi fremad,1
5882,midt i vintertiden oplever vi nu et enestående forår i vores del af verden,1
1902,op og stå  sagde man   og de klarede den,0
3427,og lad mig så endelig slå fast  vores forslag berører naturligvis ikke de danskere  der allerede er på efterløn,1
6180,vi har også noget at lære,1
3471,vi vil helst  at danmark skal være et ægte folkehjem  som de flest mulige holder af og vil værne om,1
568,næppe nogen lever havet så nær som det færøske folk  dem ønsker jeg   gott nyggjár,0
5284,et kalenderblad er vendt,1
2015,ligesom det tyske mindretal nord for grænsen er de med til at gøre vort grænseland til et forbillede for andre grænselande,0
4528,derfor skal vi gøre noget,1
485,det danske samfund er åbent og demokratisk  det er baseret på respekt for hinanden som mennesker og på respekten for hinandens meninger,0
2968,jeg sender dem alle mine varmeste nytårsønsker,0
1106,til alle  der har et ansvar og en opgave i forbindelse med formandskabet  det være sig i stort som i småt  vil jeg ønske frisk mod og lykke til,0
4727,men det skal ikke ske på bekostning af mennesker  miljø og natur,1
1022,vi skal sammen bruge vores idérigdom  vores flid og skaberkraft,0
4024,men det mest nødvendige er at sikre penge til sygehusene  de ældre og andre kerneydelser,1
1672,det gælder såvel hæren som søværnet og flyvevåbnet,0
36,men de stridigheder  der har præget dette århundrede  har antaget et hidtil uset omfang,0
5590,året  hvor vi træffer svære  men nødvendige beslutninger,1
480,kernen i vor kulturarv er respekten for det enkelte menneske og viljen til at række en hjælpende hånd til den  der har hjælp behov,0
2997,vi kan ikke alle det samme,0
1215,den dag i året vil fra nu af kunne samle os i taknemmelighed og eftertanke,0
3253,dem skylder vi en varm tak for deres indsats for danmark,0
1267,det kunne næsten ikke gå stærkt nok,0
2467,corona epidemien har også haft indflydelse på livet i grønland og på færøerne,0
2958,overalt blev jeg mødt med en hjertevarme og velvilje  som rørte mig dybt,0
2709,men bagved lurer ensomheden,0
1077,når vi er bevidste om vore rødder  virker det fremmede hverken så farligt eller truende  og vi vil opleve  at meget af det slet ikke er så anderledes  vi vil få øje på nuancerne både i  deres  og  vort  og gang på gang nikke genkendende  fordi vi har mere til fælles  end vi troede,0
1543,tilværelsens usikkerhed er et af de grundvilkår  som vi i danmark er så lykkeligt lidt fortrolige med,0
3542,det fjerner ikke spændingen mellem øst og vest med ét slag  men vi oplever et bedre storpolitisk klima,1
6264,så det bedre kan betale sig at arbejde,1
467,nytårsaften er det god skik at takke hinanden for det gamle år  den tak vil jeg gerne lade gå til enhver  som professionelt eller frivilligt stiller sig til rådighed for vort samfunds sikkerhed  og frem for alt tænker jeg på dem  der vover liv og førlighed for at redde mennesker i nød  på denne aften skal vi ikke glemme  at det også i år har kostet nogle livet,0
6148,jeg besøgte de danske soldater i det forgangne år,1
3458,der er mange solstrålehistorier,1
4444,og vi fik at vide  at vi skulle tage brusebad i stedet for karbad,1
4767,så får vi flere penge til velfærd og til at hjælpe flygtninge i nærområderne,1
1123,de står langt svagere end os  fordi de ikke er vokset op med vore normer eller er helt fortrolige med vort sprog og vort livsmønster,0
3868,verden er i ulige vægt,1
694,i vores samfund er vi dybt afhængige af hinanden  og af de grupper af mennesker  der får hverdagen til at hænge sammen,0
784,det var en historisk dag for grønland og dermed for hele det danske rige,0
4281,men hånden på hjertet,1
4479,kan det lade sig gøre,1
2900,dog skal vi ikke lade os kue af bekymringer,0
729,en stor tak til de mange tusinder  både store og små  der deltog i royal run  enten ved at løbe med på ruten  eller   som jeg selv   ved at heppe på løberne,0
5289,vores ambassade i islamabad i pakistan blev mål for en terrorbombe,1
6016,det afhænger i høj grad af os selv  om det skal gå så galt,1
537,når man er ung  stræber man efter anerkendelse  man vil så gerne have opmærksomhed  blive set   helst være enestående   ligesom de andre,0
5818,hvis vi alle sammen går på efterløn som 60 årige  kommer vi simpelthen til at mangle arbejdskraft,1
91,livet bringer os både sorger og glæder,0
5677,det er godt  når kassen bliver smækket i for spekulanter og lykkeriddere,1
1862,også uden for danmark er mange med til at dæmme op for vold og ufred,0
5981,skal vi nå vores klimamål,1
4418,det var det ikke,1
4433,vi har råd til  og pligt til  at søge den opgave løst bedre i den kommende tid,1
4085,om fire måneder bliver de nye demokratier medlemmer af eu,1
3234,jeg vil gerne takke for de minderige dage og sender mine varmeste nytårsønsker til alle i grønland,0
1890,vi har overalt mødt så megen varme og hjertelig medleven i al vor færden  og særlig i forbindelse med kronprinsens forlovelse,0
408,også i år er der mange familier  som på denne aften må savne at være sammen med en af deres kære  fordi han eller hun må opholde sig langt fra hjemmet og fra danmark  her tænker jeg særligt på vore soldater mange steder i verden  men først og fremmest på de  som er udsendt til afghanistan,0
3785,vi kan miste vores arbejde,1
1985,den varme sympati  der er vist os  og den forståelse for prins henriks indsats  som kom så smukt til udtryk fra alle i danmark ved hans død  har varmet os alle  også hans familie i frankrig,0
4793,krav om lighed  værdighed for alle mennesker og en mere retfærdig fordeling af goderne blev opfattet som en trussel mod velhavere og magthavere,1
5972,danmark skal vise verden  at politik betyder noget,1
5904,derfor fører regeringen en konsekvent udlændingepolitik,1
5680,et europa  hvor vi kan stå samlet i kampen mod terrorisme  organiseret kriminalitet  menneskehandel og illegal indvandring,1
5033,som vælgerne har sammensat folketinget gennem årtier  kan der ikke skabes ét eneste arbejdsresultat uden gennem kompromis,1
5537,et ekstra bad til dem  der har lyst til det,1
6253,i løbet af de sidste to år har vi forbedret forholdene i den offentlige sektor,1
3175,det er vi taknemmelige for,0
3760,danmarks sikkerhed afhænger af internationalt samarbejde,1
5201,men der må mere til,1
4176,jeg er stolt af  at danmark  i forhold til vores størrelse  er et af de lande  der hjælper mest ude i verden   også i syrien og i nabolandene,1
5018,verden af i dag kræver  at vi europæere står sammen for at fremme vore fælles mål og værdier,1
5954,når vores forældre dør,1
6074,en anden udpegede danmark til at have den samlet set bedste internationale bistand i verden,1
2168,men ingen kan bebrejde os  hvis vi især har hæftet os ved  hvad der skete i vor nærhed   ved opbruddet i østeuropa,0
6061,mine tanker går også til de dræbte soldaters kammerater,1
1303,vi kan heller ikke vente på  at nogen giver os ansvaret  eller vente på at alle bliver enige om  hvori det består,0
1500,det vil jeg gerne takke dem for og ønske alle et godt nytår,0
289,men at ofre andre for sin egen vrede eller håbløshed  det er råt og kynisk  det gør ingen til helt,0
5920,den vil kræve engagement og tage tid,1
6054,og der blev overskud i 86 og 87  jo  vi tog os virkelig sammen,1
5895,og vi skal følge hårdt og målrettet op på de i virkeligheden få skoler  hvor tingene ikke fungerer,1
1439,tilliden er kittet  som holder os sammen i et fællesskab,0
2725,i den seneste tid er tusindvis af flygtninge kommet til danmark  især mange fra den forfærdende og langvarige borgerkrig i syrien,0
3891,så lad os dog nu endelig gå til sagen og få ordnet restproblemerne,1
1886,jeg sender min nytårshilsen til alle danskere i udlandet og til alle  der må tilbringe nytårsaften på søen,0
6372,derfor vil jeg ændre vilkårene for flygtninge og indvandrere  der er på kontanthjælp,1
1296,om et år er kommunalreformen en realitet med sammenlagte kommuner og nye regioner,0
4527,lidt mere hensynsfuldhed i trafikken,1
945,det vil ikke gå os som et stykke hugget sukker  der opløses i varmt vand,0
5629,og vi har overskud til at tænke på andre end os selv,1
3299,der er ingen grund til  at der bliver udviklet fordan,1
738,det er mennesker  medmennesker  der udgør det net  der for alvor kan hjælpe  når vi er i nød eller trænger til råd,0
2279,til alle tider har der været enspændere  folk som valgte at kappe familiebåndene  hvor uforståeligt det end måtte synes  men storbyensomheden  som man kunne kalde den  den ensomhed  som i dag ikke begrænser sig til livet i byerne  den trives i det skjulte  den rammer så mange,0
5366,i det nye velfærdssamfund skal frihed og fællesskab gå hånd i hånd,1
1567,jeg ved  at kronprinsen og kronprinsessen glæder sig til gensynet med den betagende natur  det rige kulturliv og den store gæstfrihed,0
96,verdensproblemerne kan ikke løses  medmindre landene kan mødes  udveksle synspunkter og træffe beslutninger,0
2418,der er så langt til juleaften  der er et helt år til en fødselsdag  der er evigt langt til sommerferien,0
4938,meget danskere har dog ikke præsteret i tidernes løb under langt sværere vilkår,1
347,vi lever længere  vi har mere fritid og flere muligheder for at udnytte den,0
6452,de gør deres til  at isil nu er trængt,1
3658,både når de dræber uskyldige mennesker i irak og i syrien,1
3952,men vi har lov af håbet,1
3691,samarbejde og det flade hierarki er også noget særligt dansk,1
1728,vi har det tryggere her i danmark end de fleste andre steder i verden,0
3485,vi mærker alle krisen,1
5277,være til gavn,1
3178,herhjemme bød dette år   2022   på store oplevelser i sportens tegn,0
